Primary Key,Order Date,Product Category,Complaint,Cause,Correction,Root Cause,Symptom Condition 1,Symptom Component 1,Symptom Condition 2,Symptom Component 2,Symptom Condition 3,Symptom Component 3,Fix Condition 1,Fix Component 1,Fix Condition 2,Fix Component 2,Fix Condition 3,Fix Component 3
SO0058668-1,2023-05-31,SPRAYS,RINSE TANK LEAK,SIGHT GLASS TUBE IS LEAKING,"TOTAL MILES: 160MILEAGE IN: 181342MILEAGE OUT: 181502LOCATION: 1701 US HWY 14 W HURON SD TO 43.76885, -98.97190DRIVE TIME TO UNITINSPECTED SIGHT TUBE FOR LEAK.TUBE IS LEAKING OUT OF CONNECTIONS.RELEASED OLD TUBE FROM TOP AND BOTTOM CONNECTION.CLEANED OUT",Leaking,Leak,Rinse Tank,Leak,N/A,N/A,N/A,Cleaned Out,Tube,N/A,N/A,N/A,N/A
SO0058674-1,2023-05-31,SPRAYS,FUEL SENDER OPEN,FAILED SENDING UNITPN: 51457614UNIT HRS: 19.75,BEGAN TROUBLESHOOTING FUEL SENDER CODE. PULLED CODES AND FOLLOWED TROUBLESHOOTING AS PER ETIM. REMOVED HOOD FROM MACHINE. CHECKED VOLTAGES AND WIRES. FOUND THEM TO BE GOOD. REMOVED AND INSPECTED CONNECTORS TO VERIFY PINS WERE ALL SEATED ANDNOT DAMAGED. WI,Failed Sending,Open,Fuel Sender,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SO0058674-2,2023-05-31,SPRAYS,HYDRAULIC LEAK,NO ORING IN BOTTOM OIL COOLER FITTINGUNIT HRS 21PN: 9824051,BEGAN TROUBLESHOOTING OIL LEAK. FOUND IT WAS DRIPPING DOWN RIGHT SIDE FRAME RAIL UNDER ENGINE. FOLLOWED TRIAL UP TO COOLERS. FOUND FITTING ON BOTTOM OF OIL COOLER WAS LEAKING. REMOVED FITTING AND FOUND THERE WAS NO ORING IN IT. INSTALLED ORING. TIGHTENED,No Oring,Leak,N/A,Hydraulic Leak,N/A,N/A,N/A,Installed,N/A,Tightened,N/A,Oring,N/A
SO0058727-15,2023-06-19,SPRAYS,HYDRAULIC LEAK,"FACTORY DID NOT TIGHTEN HOSE, PART NUMBER 90391635","SERVICE CALLSTART MACHINE TO FIND LEAKING HOSE.FOUND HOSE PART NUMBER 90391635 WAS LEAKING, DUE TO POOR QUALITY CONTROL AT FACTORY, NOT TIGHTENED HOSES.REPLACED ORING FOR HOSE 90391635.FILLED SYSTEM WITH 10 GALLONS OF OIL.RANMACHINE TO BE SURE IT DID NOT",Not Tighten,Leak,N/A,Hydraulic Leak,N/A,N/A,N/A,Replaced,N/A,Tightened,N/A,Oring,N/A
SO0058727-2,2023-06-05,SPRAYS,BOOM FOLD UNEVEN AND HITTING CRADLE,SENSORS OUT OF RANGE,KEVIN HAMMER OF CNH WAS HERE TO GO OVER THE PDI OF THE MACHINE. HE WAS HERE TO HELP DIAGNOSE THIS ISSUE OF THE BOOMS HITTING THE TOP OF THE CRADLE WHEN FOLDING IN AND THE UNEVEN UNFOLD. TECH CHECKED EACH OF THE 6 SENSORS AND THEY ARE ALL OUT OF RANGE. TEC,Out of Range,Fold Uneven,Boom,N/A,N/A,N/A,N/A,N/A,Sensor,N/A,N/A,N/A,N/A
SO0058727-5,2023-06-09,SPRAYS,CUSTOMER IS GETTING FAULT. CODE: F ›¼À“ 354›¼À“31.,LUBRICANT USED ON O-RING HAD DRIP DOWN CONTAMINATING SENSOR. INSTALL NEW SENSOR.,REMOVE INTAKE HUMIDITY SENSOR.LUBRICANT USED ON O-RING HAD DRIP DOWN CONTAMINATING SENSOR. INSTALL NEW SENSOR.RUNNING TEST MACHINE VERIFY OPERATION.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,O-Ring,N/A,Sensor,N/A,N/A
SO0058727-6,2023-06-09,SPRAYS,AUTO BOOM WON'T WORK,FAULTY AUTOBOOM SENSORAUTOBOOM NODE SOFTWARE,"TOTAL MILES: 163MILEAGE OUT: 17263MILEAGE IN: 17426LOCATION: 1701 US HWY 14 W HURON, SD TO 43.76885, -98.97190DROVE TO CUSTOMER LOCATIONINSPECTED AUTOBOOM SENSORS ON EACH BOOM.TURNED KEY ON AND LOOKED FOR POWERUP.RIGHT-HAND SENSOR DOES NOT LIGHT UPUNFOLDE",Faulty,N/A,Boom,N/A,Auto Boom,N/A,Boom,N/A,Sensor,N/A,N/A,N/A,N/A
SO0058796-1,2023-07-13,SPRAYS,DEF ERROR CODES,INTERNAL ISSUE IN SUPPLY MODULE,I WENT OUT TO FIELD AND I HOOKED UP EST AND FOUND ERROR CODES 5435.05  6819.31 5246.00 AND5246.15 I CLEARED THE CODES AND RESET THE COUNTER. I DROVE THE SPRAYER DOWN THE ROAD AND THE 5435.05 CAME BACK. I PUT THD CASE 107932568. I CHECKED THE HARNESS AT TH,Internal Issue,Error Codes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SO0058796-4,2023-07-17,BALER,MASSIVE PRODUCT LEAK UNDER MACHINE,TRANSDUCER WAS ONLY SCREWED IN A THREAD,"FOUND ELBOW FITTING FOR PUMP. TRANSDUCER WAS ONLY SCREWED IN A THREAD, RESULTING IN BROKEN ELBOW AND PULLING THREAD OUT OF PUMP HOUSING.REPAIR AND RE-TAP THREADS IN PUMP HOUSING.INSTALL PIPE FITTING UNTIL NEW PART ARRIVED.SECOND TRIPREMOVE AND REPLACE ELB",Screwed in a Thread,Leak,N/A,Product Leak,N/A,N/A,N/A,Threads,Pipe Fitting,N/A,ELB,N/A,N/A
SO0058796-4,2023-07-17,BALER,CONDENSER LOOSE.,FAULTY BOLTS IN BRACKETPN: 47953465UNIT HRS: 265,DROVE MACHINE INTO SHOP. FOUND THAT THE CONDENSER BRACKET HAD BROKEN. HOOK AC MACHINE TO UNIT. RECOVER AC SYSTEM. REMOVE CONDENSER/BRACKET. WENT TO INSTALL NEW CONDENSER/BRACKET AND FOUND IT WAS WRONG. CUSTOMER NEEDED MACHINE. TAPPED NEW LARGER THREADS IN,Faulty,Loose,Condenser,N/A,N/A,N/A,N/A,Threads,N/A,N/A,N/A,N/A,N/A
